Iteration,Score,Improvement,Edge Cases
1,0.72,0.0,1
2,0.6799999999999999,-0.040000000000000036,1
3,0.8,0.1200000000000001,1
4,0.8,0.0,1
5,0.72,-0.08000000000000007,1
6,0.64,-0.07999999999999996,2
7,0.5599999999999999,-0.08000000000000007,2
8,0.72,0.16000000000000003,1
9,0.8,0.08000000000000007,1
10,0.72,-0.08000000000000007,1
11,0.62,-0.09999999999999998,1
12,0.72,0.09999999999999998,1
13,0.72,0.0,1
14,0.8,0.08000000000000007,1
15,0.6199999999999999,-0.18000000000000016,2
16,0.72,0.10000000000000009,2
17,0.6799999999999999,-0.040000000000000036,2
18,0.72,0.040000000000000036,1
19,0.76,0.040000000000000036,1
20,0.5599999999999999,-0.20000000000000007,2
