Iteration,Score,Improvement,Edge Cases
1,0.6,0.0,2
2,0.76,0.16000000000000003,1
3,0.6666666666666666,-0.09333333333333338,2
4,0.72,0.053333333333333344,1
5,0.7266666666666667,0.00666666666666671,1
6,0.6799999999999999,-0.046666666666666745,1
7,0.72,0.040000000000000036,1
8,0.5411111111111111,-0.17888888888888888,2
9,0.8099999999999999,0.26888888888888884,1
10,0.5944444444444444,-0.2155555555555555,2
11,0.6799999999999999,0.0855555555555555,2
12,0.76,0.08000000000000007,1
13,0.72,-0.040000000000000036,1
14,0.7828571428571428,0.06285714285714283,0
15,0.7666666666666667,-0.01619047619047609,1
16,0.5599999999999999,-0.20666666666666678,2
17,0.76,0.20000000000000007,1
18,0.5900000000000001,-0.16999999999999993,2
19,0.6799999999999999,0.08999999999999986,2
20,0.8400000000000001,0.16000000000000014,1
