Iteration,Score,Improvement,Edge Cases
1,0.72,0.0,1
2,0.6799999999999999,-0.040000000000000036,2
3,0.52,-0.15999999999999992,3
4,0.76,0.24,1
5,0.76,0.0,1
6,0.64,-0.12,2
7,0.8800000000000001,0.2400000000000001,0
8,0.64,-0.2400000000000001,2
9,0.64,0.0,2
10,0.76,0.12,1
11,0.6799999999999999,-0.08000000000000007,2
12,0.8400000000000001,0.16000000000000014,0
13,0.64,-0.20000000000000007,2
14,0.6799999999999999,0.039999999999999925,2
15,0.96,0.28,0
